abandon /əˈbændən/, /əˈbændən/;  bỏ rơi, ruồng bỏ
abet /əˈbet/, /əˈbet/;  xúi giục
abhor /əbˈhɔː(r)/, /əbˈhɔːr/;  ghê tởm, ghét cay ghét đắng
abject /ˈæbdʒekt/, /ˈæbdʒekt/;  hèn hạ, thấp hèn, khốn khổ 
abridge /əˈbrɪdʒ/, /əˈbrɪdʒ/;  rút ngắng lại, cắt bớt
abrogate /ˈæbrəɡeɪt/, /ˈæbrəɡeɪt/;  bãi bỏ, huỷ bỏ, thủ tiêu
abstemious /əbˈstiːmiəs/, /əbˈstiːmiəs/;  tiết chế, có điều độ
abstract /ˈæbstrækt/, /ˈæbstrækt/;  trừu tượng
absurd /əbˈsɜːd/, /əbˈsɜːrd/;  ngớ ngẩn, lố bịch
accede /əkˈsiːd/, /əkˈsiːd/;  đồng ý, tán thành
accentuate /əkˈsentʃueɪt/, /əkˈsentʃueɪt/;  tô điểm, làm nổi bật
accompany /əˈkʌmpəni/, /əˈkʌmpəni/;  đồng hành, đi cùng, hộ tống
accord /əˈkɔːd/, /əˈkɔːrd/;  hiệp định, hiệp ước
acquisition /ˌækwɪˈzɪʃn/, /ˌækwɪˈzɪʃn/;  sự được, sự giành được, sự thu được
acrimonious /ˈməʊniəs/, /ˈmoʊniəs/;  chua cay, gay gắt
acumen /ˈækjəmən/, /ˈækjəmən/;  sự nhạy bén
adequate /ˈædɪkwət/, /ˈædɪkwət/;  đủ, đầy đủ
adjacent /əˈdʒeɪsnt/, /əˈdʒeɪsnt/;  kế bên, gần
admonish /ˈmɒnɪʃ/, /ˈmɑːnɪʃ/;  khiển trách, la rầy
advent /ˈædvent/, /ˈædvent/;  sự ra đời, sự xuất hiện
advocate /ˈædvəkeɪt/, /ˈædvəkeɪt/;  chủ trương, tán thành
aesthetic /iːsˈθetɪk/, /esˈθetɪk/;  (thuộc) mỹ học, thẩm mỹ 
affable /ˈæfəbl/, /ˈæfəbl/;  hòa nhã, dễ gần
aforementioned /əˈfɔːmenʃənd/, /əˈfɔːrmenʃənd/;  đã kể trước đây, đã nói trên
aggravate /ˈæɡrəveɪt/, /ˈæɡrəveɪt/;  làm trầm trọng thêm, xấu thêm
agitate /ˈædʒɪteɪt/, /ˈædʒɪteɪt/;  lay động, rung động, làm rung chuyển
alacrity /əˈlækrəti/, /əˈlækrəti/;  sự sốt sắng
alienate /ˈeɪliəneɪt/, /ˈeɪliəneɪt/;  làm cho giận ghét, làm cho xa lánh
allay /əˈleɪ/, /əˈleɪ/;  làm dịu đi, làm lắng xuống
allegiance /əˈliːdʒəns/, /əˈliːdʒəns/;  lòng trung thành 
allure /əˈlʊə(r)/, /əˈlʊr/;  sức quyến rũ, sức lôi cuốn
alter /ˈɔːltə(r)/, /ˈɔːltər/;  thay đổi, làm cho cái gì đó thay đổi
amass /əˈmæs/, /əˈmæs/;  chất đống, tích lũy
ambiguous /æmˈbɪɡjuəs/, /æmˈbɪɡjuəs/;  khó hiểu, mơ hồ, nhập nhằng
anachronism /əˈnækrənɪzəm/, /əˈnækrənɪzəm/;  việc lỗi thời, người lỗi thời, quan niệm lỗi thời
animus /ˈænɪməs/, /ˈænɪməs/;  ác cảm
anomaly /əˈnɒməli/, /əˈnɑːməli/;  sự dị thường
anonymous /əˈnɒnɪməs/, /əˈnɑːnɪməs/;  giấu tên, ẩn danh
anticipate /ænˈtɪsɪpeɪt/, /ænˈtɪsɪpeɪt/;  đoán trước, liệu trước, lường trước
apparatus /ˈreɪtəs/, /ˈrætəs/;  đồ dùng, dụng cụ, thiết bị máy móc
apprise /əˈpraɪz/, /əˈpraɪz/;  cho biết, báo cho biết
approbation /ˌæprəˈbeɪʃn/, /ˌæprəˈbeɪʃn/;  sự chấp thuận, sự đồng ý
appropriate /əˈprəʊpriət/, /əˈproʊpriət/;  thích hợp, thích đáng
apt /æpt/, /æpt/;  thích hợp, đúng với hoàn cảnh 
arbitrary /ˈɑːbɪtrəri/, /ˈɑːbɪtri/;  không bị bó buộc, tùy ý, tùy tiện
archetype /ˈɑːkitaɪp/, /ˈɑːrkitaɪp/;  nguyên mẫu, nguyên hình
artful /ˈɑːtfl/, /ˈɑːrtfl/;  tinh ranh, ma mãnh
articulate /ɑːˈtɪkjuleɪt/, /ɑːrˈtɪkjuleɪt/;  có khả năng ăn nói lưu loát
ascetic /əˈsetɪk/, /əˈsetɪk/;  khổ hạnh
aspect /ˈæspekt/, /ˈæspekt/;  khía cạnh, mặt
assail /əˈseɪl/, /əˈseɪl/;  tấn công, xông vào đánh, công kích
assert /əˈsɜːt/, /əˈsɜːrt/;  khẳng định, quả quyết 
assiduous /əˈsɪdʒuəs/, /əˈsɪdʒuəs/;  chuyên cần, siêng năng 
associate /sieɪt/, /əˈsoʊsieɪt/;  kết giao, kết hợp, kết nối 
asylum /əˈsaɪləm/, /əˈsaɪləm/;  nơi tị nạn 
atom /ˈætəm/, /ˈætəm/;  nguyên tử
attribute /əˈtrɪbjuːt/, /əˈtrɪbjuːt/;  cho là do, quy cho 
augment /ɔːɡˈment/, /ɔːɡˈment/;  làm tăng lên
auspicious /ɔːˈspɪʃəs/, /ɔːˈspɪʃəs/;  có điềm tốt, điềm lành, thuận lợi
authentic /ɔːˈθentɪk/, /ɔːˈθentɪk/;  đích thực, xác thực 
avarice /ˈævərɪs/, /ˈævərɪs/;  tính hám lợi, tính tham lam
awry /əˈraɪ/, /əˈraɪ/;  hỏng, không như ý muốn
banal /bəˈnɑːl/, /bəˈnɑːl/;  thường, vô vị
bane /beɪn/, /beɪn/;  tai ương
banter /ˈbæntə(r)/, /ˈbæntər/;  sự đùa dỡn
belie /bɪˈlaɪ/, /bɪˈlaɪ/;  gây một ấn tượng sai lầm, làm cho nhầm
belligerent /bəˈlɪdʒərənt/, /bəˈlɪdʒərənt/;  hay gây sự, hiếu chiến 
beneficial /ˌbenɪˈfɪʃl/, /ˌbenɪˈfɪʃl/;  có ích, có lợi 
benevolent /bəˈnevələnt/, /bəˈnevələnt/;  nhân từ, tốt bụng, rộng lượng
bestow /bɪˈstəʊ/, /bɪˈstoʊ/;  tặng cho, ban cho, dành cho
bibliophile /ˈbɪbliəfaɪl/, /ˈbɪbliəfaɪl/;  người mê sách 
bizarre /bɪˈzɑː(r)/, /bɪˈzɑːr/;  quái dị 
bland /blænd/, /blænd/;  nhạt nhẽo, không hấp dẫn 
blandishment; lời xu nịnh
blatant /ˈbleɪtnt/, /ˈbleɪtnt/;  trắng trợn
bleak /bliːk/, /bliːk/;  ảm đạm, không tươi sáng 
blight /blaɪt/, /blaɪt/;  làm hại, làm hỏng
bog /bɒɡ/, /bɑːɡ/;  ngăn cản tiến độ của ai
bold /bəʊld/, /boʊld/;  dũng cảm, táo bạo 
bombast /ˈbɒmbæst/, /ˈbɑːmbæst/;  lời nói khoa trương
boorish /ˈbʊərɪʃ/, /ˈbɔːrɪʃ/;  thô lỗ
boundary /ˈbaʊndri/, /ˈbaʊndri/;  biên giới, ranh giới 
bucolic /ˈkɒlɪk/, /ˈkɑːlɪk/;  (thuộc) thôn quê, cuộc sống hôn nhân
buffoon /bəˈfuːn/, /bəˈfuːn/;  anh hề 
bulwark /wək/, /wɜːrk/;  người bảo vệ, nguyên tắc bảo vệ
bumptious /ˈbʌmpʃəs/, /ˈbʌmpʃəs/;  tự phụ, khoa trương
